dataset,variable,score_raw,score_processed,delta_abs,spearman_raw,spearman_processed,delta_spearman_abs,mutual_info_raw,mutual_info_processed,delta_mi_abs,ranking_raw,ranking_processed,delta_ranking
madelon,feat_138,0.009646468701841323,0.009646468701841323,0.0,0.017494432411236376,0.017494432411236376,0.0,0.0017985049924462704,0.0017985049924462704,0.0,276,276,0
madelon,feat_139,0.026190144029635952,0.026190144029635952,0.0,0.02674528687038373,0.02674528687038373,0.0,0.025635001188888173,0.025635001188888173,0.0,35,35,0
madelon,feat_14,0.009512865566470989,0.009512865566470989,0.0,0.019025731132941977,0.019025731132941977,0.0,0.0,0.0,0.0,284,284,0
madelon,feat_140,0.015057193148742825,0.015057193148742825,0.0,0.022254788149828408,0.022254788149828408,0.0,0.007859598147657243,0.007859598147657243,0.0,155,155,0
madelon,feat_141,0.004742996701451589,0.004742996701451589,0.0,0.004168339707852404,0.004168339707852404,0.0,0.0053176536950507725,0.0053176536950507725,0.0,403,403,0
madelon,feat_142,0.008072154574915618,0.008072154574915618,0.0,0.016144309149831237,0.016144309149831237,0.0,0.0,0.0,0.0,331,331,0
madelon,feat_143,0.006903241054235481,0.006903241054235481,0.0,0.008187834859330776,0.008187834859330776,0.0,0.005618647249140185,0.005618647249140185,0.0,359,359,0
madelon,feat_144,0.007977336281435744,0.007977336281435744,0.0,0.01595467256287149,0.01595467256287149,0.0,0.0,0.0,0.0,333,333,0
madelon,feat_145,0.009493001434527318,0.009493001434527318,0.0,0.01503065874910395,0.01503065874910395,0.0,0.003955344119950688,0.003955344119950688,0.0,286,286,0
madelon,feat_146,0.025670423555356512,0.025670423555356512,0.0,0.03692265408571122,0.03692265408571122,0.0,0.014418193025001802,0.014418193025001802,0.0,38,38,0
madelon,feat_147,0.016500311994898615,0.016500311994898615,0.0,0.014914446947178838,0.014914446947178838,0.0,0.01808617704261839,0.01808617704261839,0.0,128,128,0
madelon,feat_148,0.0031156595826071984,0.0031156595826071984,0.0,0.006231319165214397,0.006231319165214397,0.0,0.0,0.0,0.0,441,441,0
madelon,feat_149,0.020244020336906546,0.020244020336906546,0.0,0.04048804067381309,0.04048804067381309,0.0,0.0,0.0,0.0,80,80,0
madelon,feat_15,0.00995372452949308,0.00995372452949308,0.0,0.017665363749797925,0.017665363749797925,0.0,0.0022420853091882353,0.0022420853091882353,0.0,271,271,0
madelon,feat_150,0.0070128604178344095,0.0070128604178344095,0.0,0.012630518790275479,0.012630518790275479,0.0,0.00139520204539334,0.00139520204539334,0.0,357,357,0
madelon,feat_151,0.01261797140283643,0.01261797140283643,0.0,0.0039971234241075035,0.0039971234241075035,0.0,0.021238819381565355,0.021238819381565355,0.0,203,203,0
madelon,feat_152,0.026558524612285334,0.026558524612285334,0.0,0.04050474922295394,0.04050474922295394,0.0,0.012612300001616727,0.012612300001616727,0.0,34,34,0
madelon,feat_153,0.02523863348628062,0.02523863348628062,0.0,0.03686785498420405,0.03686785498420405,0.0,0.01360941198835719,0.01360941198835719,0.0,42,42,0
madelon,feat_154,0.015156261390347007,0.015156261390347007,0.0,0.027765032898009075,0.027765032898009075,0.0,0.002547489882684939,0.002547489882684939,0.0,150,150,0
madelon,feat_155,0.02031112227643505,0.02031112227643505,0.0,0.025661540953217477,0.025661540953217477,0.0,0.014960703599652625,0.014960703599652625,0.0,79,79,0
madelon,feat_156,0.006190173049114112,0.006190173049114112,0.0,0.012380346098228225,0.012380346098228225,0.0,0.0,0.0,0.0,369,369,0
madelon,feat_157,0.014172880385197604,0.014172880385197604,0.0,0.012126290988524486,0.012126290988524486,0.0,0.01621946978187072,0.01621946978187072,0.0,173,173,0
madelon,feat_158,0.009002173874294929,0.009002173874294929,0.0,0.018004347748589857,0.018004347748589857,0.0,0.0,0.0,0.0,298,298,0
madelon,feat_159,0.010133267163967693,0.010133267163967693,0.0,0.020266534327935386,0.020266534327935386,0.0,0.0,0.0,0.0,263,263,0
